category,performer,l1,l2,linf,max_score,count,prob_num,ranking,best,l1_zscore,l2_zscore,linf_zscore,max_score_zscore,count_zscore,best_string
multivariate_regression,mit,1593.0,160.64631431079712,22.0,-29.668697506485795,40,193,2.0,2.0,3.7519897808385427,3.6762373358645783,2.641982746640241,2.9953523190688616,3.28820931835875,**
multivariate_regression,nyu,529.0,58.96581699796534,11.0,-54.992211942554256,27,193,5.0,0.0,-0.05366266856275059,-0.04641422953206617,-0.400921490264906,-1.3394710372442704,0.8904162114464045,
multivariate_regression,nyu_2,224.0,42.046273715031305,12.0,-54.992211942554256,17,193,5.0,0.0,-0.9215101892368023,-0.694307555430388,-0.11488271349122826,-1.3394710372442704,-0.9817502216133871,
multivariate_regression,sri,99.0,14.52583904633395,3.0,-54.100046625079905,11,100,2.0,0.0,-0.715851998012341,-0.6995667868156794,-0.7201931413999582,-0.6320504481741982,-0.48141422564394637,
multivariate_regression,tamu,66.0,8.12403840463596,1.0,-54.10363673460017,12,100,3.0,0.0,-0.8115474908021852,-0.9433702607973654,-1.2508617719051904,-0.6323642560577228,-0.2941975823379672,
multivariate_regression,ucb,902.0,93.10815062282575,22.0,-29.668697506485795,25,193,2.0,2.0,0.982899870050957,1.2453234214480347,2.641982746640241,2.9953523190688616,0.5290822906764036,**
regression,cmu,977.0,141.601768665679,30.0,-3907790.066875633,87,340,23.0,3.0,-6.608292240247465,-5.955071479238185,-4.81626622485521,2.807891657272735,-7.653509630450774,***
regression,isi,5087.0,469.8823276104558,66.0,-3795334.2891095234,152,340,26.0,2.0,6.297436598500852,6.705208828949623,4.895362645382992,3.773175088035334,5.17625406748249,**
regression,mit,1425.0,236.47012859575406,67.0,-9223332.663852321,67,340,39.0,1.0,-5.317387399154201,-2.128626739287156,4.013015319772701,-4.63835522689537,-10.261476812439884,*
regression,nyu,3732.0,320.53186514092084,53.0,-2010.1545259581019,123,308,27.0,0.0,2.956948807393121,2.360383520616815,2.143641809696723,-1.1944018140472759,1.827875898462573,
regression,nyu_2,3628.0,314.8433973906391,47.0,-2008.1727310595402,125,308,25.0,0.0,3.1760402384659123,2.616284391500465,0.5525047778244199,-0.865311221928585,2.2472813487953536,
