category,performer,l1,l2,linf,max_score,count,prob_num,ranking,best,l1_zscore,l2_zscore,linf_zscore,max_score_zscore,count_zscore
binary_classification,cmu,310.3,30.993289210551914,4.5,0.6054614418164893,17.1,66.8,2.6,0.3,-0.02208251357940178,0.009864396958569902,-0.3029381541508139,0.4515539417311114,0.3696392133734044
binary_classification,isi,424.2,35.80230365213612,5.8,0.5711763280282922,12.5,62.7,4.0,0.0,0.29733037016733876,0.23259911437356778,0.08748736078010522,-0.07582059168061152,-0.3897231202922522
binary_classification,mit,143.45454545454547,29.71757000989345,10.363636363636363,0.5668824064209755,6.545454545454546,61.36363636363637,4.545454545454546,0.09090909090909091,-0.6184722156983775,-0.06889432014275511,0.8889606405838404,-0.5478835668796844,-1.3968482970467528
binary_classification,nyu,426.0,35.195423172539954,4.636363636363637,0.5958971411183698,17.727272727272727,65.27272727272727,3.3636363636363638,0.18181818181818182,0.4724022611256711,0.2210981950044146,-0.22789187207922276,0.08317038471207884,0.49267272702747406
binary_classification,nyu_2,371.1818181818182,32.195415357545784,4.818181818181818,0.6072377346618792,16.545454545454547,65.27272727272727,3.0,0.18181818181818182,0.22301529069321563,0.03788413653133044,-0.19982441292508535,0.2569881930087787,0.29557807890426885
binary_classification,sri,34.42857142857143,4.499104183682168,0.7142857142857143,0.5258340785222315,19.0,73.42857142857143,4.714285714285714,0.14285714285714285,-0.8789365889069165,-0.9790208305900577,-1.044984535166829,-0.5998722531125109,0.7122635951713331
binary_classification,tamu,161.66666666666666,12.486940574425555,1.0,0.5571714431920634,18.166666666666668,61.166666666666664,4.083333333333333,0.16666666666666666,-0.5421351194322198,-0.7945027152014021,-1.1418288146487174,-0.27665560761623703,0.5878062962862162
binary_classification,ucb,638.3333333333334,65.4946518279698,12.916666666666666,0.5906769446952712,13.5,61.166666666666664,2.5833333333333335,0.16666666666666666,1.0030926453721538,1.2611132002195158,1.3876070905538693,0.44600990495943554,-0.07421019348435924
binary_classification,uncharted,7.0,7.0,7.0,0.38797481210643925,2.0,27.333333333333332,3.3333333333333335,0.3333333333333333,-0.9926038173785882,-1.0872610815770771,0.4821241525460714,0.2314985279704033,-1.417862309456008
collaborative_filtering,cmu,4.0,4.0,4.0,-3.086095132981141,2.0,26.0,1.0,1.0,-0.8212221870686491,-1.1550426524795872,-0.6083303292403596,1.2207898760948759,-0.8392044441238016
collaborative_filtering,isi,1.0,1.0,1.0,-4.347893962254485,2.0,26.0,7.0,0.0,-0.8485962599709375,-1.4375088912108376,-1.4599927901768628,-1.1895758755293153,-0.8392044441238016
collaborative_filtering,mit,43.0,19.1049731745428,10.0,-4.126975746791416,4.0,26.0,6.0,0.0,-0.4653592393389012,0.26717233377025956,1.094994592632647,-0.7675643090985775,-0.47205249981963837
collaborative_filtering,nyu,298.0,29.899832775452108,5.0,-4.123555053477558,16.0,26.0,5.0,0.0,1.8614369573556049,1.2835667968038527,-0.32444284226152514,-0.7610298902837481,1.730859166005341
collaborative_filtering,nyu_2,222.0,25.019992006393608,4.0,-4.090765953935084,14.0,26.0,4.0,0.0,1.1679604438309676,0.8241033742560637,-0.6083303292403596,-0.6983941350982005,1.3637072217011776
collaborative_filtering,tamu,14.0,9.273618495495704,7.0,-3.088722650886839,3.0,26.0,2.0,0.0,-0.7299752773943549,-0.658502925504178,0.24333213169614368,1.2157706297421744,-0.65562847197172
collaborative_filtering,ucb,76.0,25.573423705088842,12.0,-3.2121439326837433,5.0,26.0,3.0,0.0,-0.16424443741372982,0.8762119643644269,1.6627695665903157,0.9800037041727964,-0.28847652766755677
community_detection,isi,14.0,9.899494936611665,7.0,0.7863493486784825,3.0,28.5,1.0,1.0,-0.6459387270690684,-0.7141803003483438,-0.2323742925501306,0.5488185629162737,-1.0916397461796876
community_detection,mit,41.0,15.4749371855331,7.5,0.7141000421012722,4.5,28.5,2.5,0.0,-0.5681007798625439,-0.5062379483081421,-0.09780590134525362,-0.9409618984876312,-0.8001011494034059
community_detection,nyu,188.0,34.941963658656654,10.0,0.7863493486784825,10.0,28.5,1.0,1.0,-0.06270379608747233,0.2596152870311798,0.5482200617867049,0.5488185629162737,0.30665067701107723
community_detection,nyu_2,80.0,23.916521486202797,10.0,0.8503255421121115,6.0,28.0,1.0,1.0,-0.44128248339600834,-0.25212009499786997,0.49341743441788244,0.5394763829289867,-0.61547037097215
community_detection,tamu,38.0,5.999387091025751,1.0,0.6558876305107224,9.0,28.5,2.5,0.0,-0.5738757574048341,-0.8680295051729596,-1.7935630012238015,-0.975231981725689,0.0961014818215059
community_detection,ucb,850.5,78.90236151192772,13.0,0.7863493486784825,17.5,28.5,1.0,1.0,2.0712603021219227,1.9548925142972,1.3288144161235405,0.5488185629162737,1.7967239222365858
graph_matching,cmu,2.0,2.0,2.0,0.8585513960185301,2.0,33.0,1.0,1.0,-0.9583715613701694,-1.4005719856737886,-2.125764034104949,0.7608836364387024,-1.1350446524430646
graph_matching,isi,31.0,14.177446878757825,7.0,0.8585513960185301,4.0,33.0,1.0,1.0,-0.8032790827315682,-0.7687784238959872,-0.3759554742220762,0.7608836364387024,-0.8141612708691188
graph_matching,mit,72.5,20.26860229593982,7.0,0.7477642240068683,6.5,33.0,2.0,0.5,-0.6092295536482069,-0.4910504272259252,-0.36200451476162526,-0.7558758172893449,-0.4009806733139425
graph_matching,nyu,101.0,25.17281198335331,10.0,0.835766602872525,6.5,33.0,2.0,0.0,-0.2809629267218922,-0.11686492533243167,0.6739296617076473,-0.5089250306755722,-0.3526751909629652
